provincia_id;provincia_nombre;anio;codigo_delito_snic_id;codigo_delito_snic_nombre;cantidad_hechos;cantidad_victimas;cantidad_victimas_masc;cantidad_victimas_fem;cantidad_victimas_sd;tasa_hechos;tasa_victimas;tasa_victimas_masc;tasa_victimas_fem
2;Buenos Aires;2023;14;Otros delitos contra la libertad;4762;5035;1596;2921;518;2.639.764;2.793.959;1.803.519;31.826033
2;Buenos Aires;2018;15;Otros delitos contra las personas;1937;2037;1201;608;228;11.263988;11.845506;4.243.644;69.370.211
2;Buenos Aires;2020;15;Otros delitos contra las personas;2138;2269;1212;792;265;12.188489;12.935305;4.080.683;8.8654032
2;Buenos Aires;2023;15;Otros delitos contra las personas;1750;1860;354;629;177;9.7009296;333.702;11.891.165;6.8533292
2;Buenos Aires;2018;16;Suicidios (consumados);1393;1393;1153;240;0;8.8370676;8.8370676;4.985.756;2.974282
2;Buenos Aires;2020;16;Suicidios (consumados);858;858;688;166;4;5.3206334;5.3206334;8.7321625;2.0128579
2;Buenos Aires;2023;16;Suicidios (consumados);1399;1399;376;274;49;8.4034977;8.4034977;1.323.633;3.2224395
2;Buenos Aires;2023;17;Tentativa de abuso sexual con acceso carnal;60;67;13;51;3;.33260328;.37407;.4670223;.55567533
2;Buenos Aires;2018;18;Trata de personas agravado;1;1;0;1;0;.0058151721;.0058151721;0;.0140958
2;Buenos Aires;2023;18;Trata de personas agravado;1;1;0;0;1;.005543388;.005543388;0;0
2;Buenos Aires;2018;19;Trata de personas simple;9;16;1;11;4;.052336548;.093042754;.01185982;.12550537
2;Buenos Aires;2020;19;Trata de personas simple;9;20;6;11;3;.05130795;.1401767;.069706351;.1231306
2;Buenos Aires;2023;19;Trata de personas simple;24;91;37;45;9;.13301132;.50444829;.11753709;.49030179
3;Catamarca;2023;2;Abuso sexual simple;98;98;2;87;9;2.303.906;2.303.906;.93796313;409.395
3;Catamarca;2018;3;Abusos sexuales con acceso carnal (violaciones);18;18;1;17;0;4.431.219;4.431.219;.48964882;8.3364391
3;Catamarca;2020;3;Abusos sexuales con acceso carnal (violaciones);3;3;0;3;0;2.4070981;2.4070981;0;4.8191609
3;Catamarca;2023;3;Abusos sexuales con acceso carnal (violaciones);12;12;0;12;0;2.817662;2.817662;0;5.6428895
3;Catamarca;2023;4;Ciberdelitos sexuales vinculados a menores;5;5;1;4;0;1.1740259;1.1740259;.46898156;1.8809632
3;Catamarca;2023;5;Delitos contra el honor;76;76;20;51;5;17.845194;17.845194;9.379631;23.982281
3;Catamarca;2018;7;Homicidios dolosos;6;6;5;1;0;1.4700406;1.4700406;24.482.411;.49037877
3;Catamarca;2020;7;Homicidios dolosos;7;7;5;2;0;1.6849686;1.6849686;2.4046206;.9638322
3;Catamarca;2023;7;Homicidios dolosos;5;5;5;0;0;1.1740259;1.1740259;2.3449078;0
3;Catamarca;2023;8;Homicidios dolosos en grado de tentativa;4;4;2;2;0;.93922067;.93922067;.93796313;.9404816
3;Catamarca;2018;9;Lesiones culposas en Accidentes Viales;2194;2532;1783;748;1;537.54486;620.35712;873.04382;366.80331
3;Catamarca;2020;9;Lesiones culposas en Accidentes Viales;1260;117;304;111;2;303.29434;31.108.578;482.84784;198.06752
3;Catamarca;2023;9;Lesiones culposas en Accidentes Viales;247;2181;1311;818;22;504.12671;5.121.305;628.9043;384.65698
3;Catamarca;2020;10;Lesiones culposas por otros hechos;1;1;0;1;0;.24070981;.24070981;0;.4819161
3;Catamarca;2018;11;Lesiones dolosas;3801;3803;1550;2197;56;931.27069;931.76074;758.95569;3.773.622
3;Catamarca;2020;11;Lesiones dolosas;2424;2424;384;1323;17;583.48059;583.48059;521.32178;637.57501
3;Catamarca;2023;11;Lesiones dolosas;489;489;886;588;15;349.62491;349.62491;11.551.767;276.50159
3;Catamarca;2018;12;Muertes en accidentes viales;87;96;71;25;0;21.315588;23.520649;34.765068;12.259469
3;Catamarca;2020;12;Muertes en accidentes viales;45;50;40;3;0;3.831.942;12.03549;19.236965;4.8191609
